start,end,duration_hr,P_in,peak_intensity_in_hr,Q_in,runoff_ratio
2006-09-05,2006-09-06 23:00:00,48.0,1.64,0.034583333333333334,0.4073005230125523,0.24835397744667825
2006-09-29,2006-09-29 23:00:00,24.0,1.21,0.050416666666666665,0.10571918828451883,0.08737122998720565
2006-10-06,2006-10-08 23:00:00,72.0,2.2999999999999994,0.06541666666666666,0.5548084078103209,0.24122104687405263
2006-10-28,2006-10-28 23:00:00,24.0,1.53,0.06375,0.38202480892608087,0.24968941759874566
2006-11-08,2006-11-09 23:00:00,48.0,1.82,0.07333333333333333,0.8920745071129709,0.4901508280840499
2006-11-17,2006-11-17 23:00:00,24.0,2.29,0.09541666666666666,0.1126592468619247,0.049196177668962754
2006-11-23,2006-11-24 23:00:00,48.0,1.05,0.04125,0.2020941945606695,0.1924706614863519
2007-01-01,2007-01-02 23:00:00,48.0,1.1999999999999997,0.04083333333333333,0.3954225453277545,0.3295187877731288
2007-02-13,2007-02-14 23:00:00,48.0,1.36,0.05541666666666667,0.030032092050209208,0.022082420625153826
2007-03-16,2007-03-17 23:00:00,48.0,2.3600000000000003,0.05666666666666667,0.9902810041841004,0.4196105949932628
2007-04-15,2007-04-17 23:00:00,72.0,2.4600000000000004,0.05458333333333334,1.1357343619246865,0.46168063492873423
2007-08-20,2007-08-22 23:00:00,72.0,1.71,0.042916666666666665,0.31866878045778985,0.1863560119636198
2007-10-24,2007-10-28 23:00:00,120.0,4.800000000000002,0.10208333333333335,0.9108947124381895,0.18976973175795608
2008-02-01,2008-02-02 23:00:00,48.0,1.78,0.05291666666666667,0.5313123897190676,0.2984901065837458
2008-02-13,2008-02-14 23:00:00,48.0,1.4100000000000004,0.045000000000000005,0.423431750348675,0.300306205921046
2008-03-05,2008-03-05 23:00:00,24.0,2.0,0.08333333333333333,0.8163282803347282,0.4081641401673641
2008-04-01,2008-04-04 23:00:00,96.0,1.0199999999999998,0.03333333333333333,0.27002429707112974,0.2647297030109116
2008-04-20,2008-04-22 23:00:00,72.0,3.4,0.11666666666666665,1.8325578123132098,0.5389875918568264
2008-04-27,2008-04-29 23:00:00,72.0,1.09,0.030833333333333334,0.19773084138455685,0.1814044416372081
2008-05-08,2008-05-13 23:00:00,144.0,6.280000000000001,0.13125,3.2191407248953974,0.5126020262572288
2008-05-16,2008-05-17 23:00:00,48.0,1.1000000000000003,0.04541666666666667,0.38276134728033473,0.34796486116394054
2008-06-01,2008-06-01 23:00:00,24.0,1.65,0.06874999999999999,0.45936392956764305,0.2784023815561473
2008-06-04,2008-06-05 23:00:00,48.0,2.34,0.05666666666666667,0.9001847280334727,0.3846943282194328
2008-07-14,2008-07-14 23:00:00,24.0,1.0,0.041666666666666664,0.1674055721757322,0.1674055721757322
2008-07-23,2008-07-24 23:00:00,48.0,1.6300000000000001,0.05333333333333334,0.21193773259794604,0.13002314883309574
2008-08-28,2008-08-30 23:00:00,72.0,1.1600000000000001,0.027083333333333334,0.2270239430962343,0.19571029577261576
2008-09-06,2008-09-07 23:00:00,48.0,7.949999999999999,0.315,4.55759193699237,0.5732820046531284
2008-09-26,2008-09-29 23:00:00,96.0,2.0100000000000002,0.052083333333333336,0.3491010258019526,0.17368210238903115
2008-10-25,2008-10-26 23:00:00,48.0,1.0699999999999998,0.03916666666666666,0.1828728776150628,0.17090923141594655
2008-11-13,2008-11-16 23:00:00,96.0,1.4100000000000001,0.0325,0.22666269616993887,0.16075368522690697
2008-12-10,2008-12-12 23:00:00,72.0,1.65,0.06208333333333333,0.47817937238493735,0.2898056802332954
2009-01-06,2009-01-08 23:00:00,72.0,2.1199999999999997,0.05375,0.7551810736401674,0.35621748756611676
2009-03-26,2009-03-29 23:00:00,96.0,1.1799999999999997,0.029166666666666664,0.24167275732217575,0.20480742145947103
2009-04-20,2009-04-23 23:00:00,96.0,1.4800000000000006,0.045000000000000005,0.3628229428172944,0.24515063703871232
2009-04-30,2009-05-09 23:00:00,240.0,3.6900000000000004,0.05125,0.9270813451882846,0.2512415569615947
2009-05-15,2009-05-15 23:00:00,24.0,1.46,0.06083333333333333,1.1847375034867504,0.8114640434840756
2009-05-26,2009-05-27 23:00:00,48.0,1.3599999999999997,0.048749999999999995,0.7124919330543934,0.5238911272458776
2009-05-29,2009-05-31 23:00:00,72.0,1.49,0.03916666666666666,0.6806496164574617,0.4568118231258132
2009-06-03,2009-06-06 23:00:00,96.0,2.3499999999999996,0.03666666666666667,1.0181482180962345,0.43325456089201475
2009-06-09,2009-06-12 23:00:00,96.0,1.1700000000000002,0.018333333333333333,0.1014361140167364,0.08669753334763794
2009-06-18,2009-06-19 23:00:00,48.0,1.14,0.028749999999999998,0.32887252600119543,0.2884846719308732
2009-07-24,2009-07-24 23:00:00,24.0,1.39,0.057916666666666665,0.34176417015341704,0.24587350370749428
2009-08-01,2009-08-03 23:00:00,72.0,1.4900000000000002,0.037083333333333336,0.22088537014345488,0.1482452148613791
2009-08-22,2009-08-23 23:00:00,48.0,1.25,0.034583333333333334,0.17206988284518832,0.13765590627615065
2009-09-25,2009-09-28 23:00:00,96.0,1.7,0.06291666666666666,0.2379947809052872,0.13999692994428659
2009-10-15,2009-10-18 23:00:00,96.0,2.7199999999999998,0.0425,0.46642328661087873,0.17147914948929366
2009-10-27,2009-10-28 23:00:00,48.0,2.09,0.05958333333333333,0.4841079874476988,0.23163061600368365
2009-11-11,2009-11-14 23:00:00,96.0,2.15,0.050416666666666665,0.5135591478382149,0.2388647199247511
2009-11-24,2009-11-27 23:00:00,96.0,1.14,0.03208333333333333,0.29081735277943815,0.2551029410345949
2009-12-09,2009-12-09 23:00:00,24.0,1.6600000000000001,0.06916666666666667,0.9319907364016736,0.5614402026516105
2009-12-19,2009-12-20 23:00:00,48.0,1.6300000000000001,0.043750000000000004,0.03991311715481172,0.02448657494160228
2009-12-26,2009-12-27 23:00:00,48.0,1.6499999999999997,0.06083333333333333,1.361143626220363,0.8249355310426443
2010-02-06,2010-02-07 23:00:00,48.0,2.78,0.09000000000000001,0.08122669456066947,0.02921823545347823
2010-03-12,2010-03-16 23:00:00,120.0,2.209999999999999,0.0325,1.0306765020920503,0.46636945796020396
2010-03-29,2010-03-31 23:00:00,72.0,1.2000000000000004,0.043333333333333335,0.3499594560669457,0.29163288005578797
2010-05-23,2010-05-24 23:00:00,48.0,2.1900000000000004,0.08583333333333333,0.5834732357043235,0.2664261350248052
2010-07-10,2010-07-11 23:00:00,48.0,1.2000000000000002,0.03291666666666667,0.6002947183778564,0.5002455986482136
2010-07-13,2010-07-15 23:00:00,72.0,2.5700000000000003,0.07083333333333333,0.41887526713871914,0.1629864852679841
2010-08-04,2010-08-06 23:00:00,72.0,1.52,0.055,0.15936265115062762,0.10484384944120238
2010-08-12,2010-08-13 23:00:00,48.0,1.8199999999999998,0.05875,0.19939441841004185,0.10955737275277026
2010-08-18,2010-08-19 23:00:00,48.0,1.19,0.028333333333333335,0.33022074686192476,0.27749642593439056
2010-09-27,2010-10-01 23:00:00,120.0,6.510000000000001,0.10958333333333332,2.198545441905375,0.33771819384107143
2010-10-04,2010-10-05 23:00:00,48.0,1.04,0.035416666666666666,0.32330043836498235,0.31086580612017534
2010-10-14,2010-10-15 23:00:00,48.0,1.01,0.04125,0.25421465690376566,0.2516976801027383
2010-10-27,2010-10-28 23:00:00,48.0,1.4499999999999997,0.04041666666666666,0.4817116443514646,0.33221492713894113
2010-11-04,2010-11-05 23:00:00,48.0,1.4800000000000002,0.03166666666666667,0.46396556531845645,0.3134902468367949
2010-11-30,2010-12-02 23:00:00,72.0,1.0,0.025833333333333333,0.3279022071129707,0.3279022071129707
2011-01-26,2011-01-27 23:00:00,48.0,1.6300000000000001,0.057916666666666665,0.18132070083682011,0.11123969376492031
2011-03-06,2011-03-07 23:00:00,48.0,2.0,0.07625,1.7120445027894002,0.8560222513947001
2011-03-10,2011-03-11 23:00:00,48.0,1.9300000000000002,0.05416666666666667,1.0053748535564853,0.5209196132417022
2011-04-17,2011-04-17 23:00:00,24.0,1.35,0.05625,0.2958083263598327,0.21911727878506124
2011-05-14,2011-05-20 23:00:00,168.0,2.92,0.03791666666666667,0.9164067259414226,0.31383791984295295
2011-06-17,2011-06-21 23:00:00,120.0,1.9800000000000002,0.05583333333333334,0.8713663682008369,0.44008402434385696
2011-07-14,2011-07-14 23:00:00,24.0,1.53,0.06375,0.038130556020455605,0.024921932039513466
2011-08-19,2011-08-20 23:00:00,48.0,1.4400000000000002,0.04833333333333333,0.7930561876867903,0.5507334636713821
2011-08-28,2011-08-29 23:00:00,48.0,3.1199999999999997,0.12541666666666665,0.6139189822175732,0.1967689045569145
2011-09-06,2011-09-10 23:00:00,120.0,11.57,0.2733333333333333,9.277499352859136,0.8018581981727861
2011-10-12,2011-10-15 23:00:00,96.0,1.9099999999999997,0.04,0.9542813953974896,0.49962376722381663
2011-10-27,2011-10-30 23:00:00,96.0,1.41,0.03,0.6447511520223153,0.4572703205832023
2011-11-21,2011-11-24 23:00:00,96.0,1.01,0.028749999999999998,0.650290750348675,0.643852228067995
2011-12-06,2011-12-08 23:00:00,72.0,2.71,0.07208333333333333,1.5243231799163182,0.5624808781979034
2012-01-12,2012-01-13 23:00:00,48.0,1.5100000000000002,0.06,0.6533702809324567,0.4326955502863951
2012-04-22,2012-04-24 23:00:00,72.0,1.4999999999999998,0.050416666666666665,0.54481404916318,0.36320936610878674
2012-05-14,2012-05-16 23:00:00,72.0,1.1100000000000003,0.04083333333333333,0.4218964309623429,0.38008687474084935
2012-05-21,2012-05-25 23:00:00,120.0,1.2499999999999996,0.01875,0.7123363263598326,0.5698690610878663
2012-06-02,2012-06-02 23:00:00,24.0,2.16,0.09000000000000001,0.6206556911373147,0.28734059774875675
2012-10-01,2012-10-04 23:00:00,96.0,1.1500000000000001,0.03791666666666667,0.45500953556485363,0.39566046570856833
2012-10-29,2012-10-31 23:00:00,72.0,6.370000000000001,0.21458333333333335,2.8297622029288707,0.44423268491819
2012-12-21,2012-12-21 23:00:00,24.0,1.22,0.050833333333333335,0.419503459344491,0.3438552945446648
2012-12-25,2012-12-27 23:00:00,72.0,1.81,0.06625,0.937259579079498,0.5178229718671259
